iter	Passed	Remaining
0	173	173201
1	200	100158
2	215	71754
3	232	57936
4	250	49785
5	264	43802
6	277	39435
7	291	36196
8	305	33596
9	320	31708
10	336	30233
11	355	29257
12	372	28264
13	391	27562
14	408	26830
15	429	26434
16	448	25921
17	463	25292
18	477	24666
19	494	24252
20	511	23862
21	528	23507
22	544	23120
23	558	22723
24	572	22310
25	585	21923
26	598	21570
27	612	21250
28	625	20942
29	638	20640
30	651	20354
31	664	20088
32	676	19812
33	687	19539
34	700	19325
35	712	19083
36	724	18849
37	736	18642
38	748	18439
39	760	18259
40	773	18098
41	785	17925
42	800	17821
43	813	17675
44	826	17541
45	841	17447
46	852	17293
47	863	17133
48	875	16994
49	886	16841
50	896	16687
51	908	16569
52	937	16742
53	952	16680
54	969	16659
55	982	16568
56	996	16487
57	1010	16412
58	1025	16352
59	1039	16281
60	1055	16240
61	1070	16189
62	1084	16134
63	1098	16070
64	1118	16084
65	1133	16044
66	1146	15964
67	1158	15881
68	1169	15781
69	1182	15706
70	1196	15659
71	1209	15590
72	1223	15542
73	1238	15497
74	1251	15436
75	1264	15371
76	1277	15316
77	1290	15256
78	1303	15192
79	1315	15130
80	1326	15050
81	1338	14981
82	1349	14913
83	1361	14847
84	1374	14791
85	1384	14719
86	1397	14664
87	1411	14623
88	1424	14578
89	1437	14533
90	1451	14495
91	1465	14463
92	1479	14425
93	1491	14377
94	1503	14318
95	1514	14260
96	1526	14208
97	1537	14151
98	1549	14099
99	1563	14070
100	1573	14004
101	1587	13977
102	1604	13969
103	1616	13927
104	1627	13874
105	1642	13848
106	1660	13861
107	1677	13855
108	1692	13837
109	1708	13821
110	1727	13836
111	1741	13808
112	1755	13776
113	1767	13737
114	1797	13831
115	1832	13966
116	1848	13947
117	1867	13958
118	1895	14029
119	1917	14064
120	1933	14043
121	1950	14039
122	1963	14002
123	1979	13982
124	1998	13986
125	2012	13960
126	2025	13923
127	2042	13916
128	2056	13888
129	2068	13840
130	2081	13807
131	2093	13768
132	2104	13721
133	2116	13676
134	2126	13627
135	2138	13584
136	2151	13553
137	2171	13562
138	2185	13538
139	2199	13511
140	2213	13484
141	2225	13449
142	2239	13422
143	2251	13385
144	2264	13350
145	2276	13317
146	2290	13292
147	2303	13261
148	2318	13239
149	2330	13206
150	2343	13177
151	2357	13154
152	2376	13156
153	2388	13123
154	2400	13089
155	2413	13057
156	2425	13023
157	2438	12993
158	2449	12956
159	2462	12925
160	2476	12905
161	2489	12875
162	2501	12846
163	2513	12810
164	2525	12779
165	2538	12752
166	2549	12716
167	2561	12683
168	2573	12654
169	2585	12623
170	2596	12588
171	2607	12551
172	2620	12528
173	2632	12496
174	2644	12466
175	2657	12439
176	2668	12406
177	2678	12371
178	2690	12339
179	2702	12309
180	2713	12277
181	2724	12245
182	2737	12223
183	2749	12192
184	2762	12169
185	2776	12151
186	2789	12128
187	2802	12104
188	2815	12082
189	2825	12045
190	2836	12014
191	2848	11985
192	2859	11957
193	2871	11931
194	2884	11907
195	2897	11885
196	2910	11864
197	2922	11838
198	2935	11814
199	2946	11786
200	2958	11760
201	2972	11742
202	2984	11717
203	2997	11696
204	3009	11669
205	3020	11640
206	3031	11614
207	3048	11609
208	3060	11584
209	3071	11552
210	3082	11525
211	3092	11493
212	3102	11464
213	3113	11435
214	3124	11406
