iter	Passed	Remaining
0	172	171888
1	198	99122
2	229	76108
3	255	63496
4	282	56315
5	305	50543
6	328	46529
7	355	44101
8	379	41754
9	403	39918
10	427	38454
11	451	37198
12	478	36352
13	503	35493
14	528	34682
15	553	34054
16	584	33811
17	609	33249
18	638	32944
19	667	32717
20	690	32212
21	715	31804
22	739	31419
23	764	31075
24	790	30844
25	815	30539
26	839	30256
27	865	30051
28	889	29787
29	920	29756
30	946	29597
31	975	29502
32	1000	29308
33	1028	29210
34	1055	29114
35	1078	28876
36	1103	28715
37	1129	28606
38	1151	28363
39	1179	28317
40	1209	28293
41	1232	28115
42	1257	27986
43	1281	27837
44	1301	27611
45	1327	27532
46	1352	27424
47	1424	28244
48	1451	28165
49	1474	28022
50	1497	27866
51	1518	27685
52	1542	27566
53	1565	27424
54	1587	27283
55	1614	27211
56	1637	27094
57	1661	26987
58	1690	26958
59	1713	26838
60	1736	26731
61	1761	26647
62	1782	26504
63	1806	26417
64	1828	26295
65	1849	26166
66	1871	26058
67	1892	25936
68	1913	25824
69	1948	25888
70	1967	25747
71	1988	25623
72	2010	25527
73	2031	25420
74	2052	25314
75	2073	25211
76	2093	25096
77	2115	25002
78	2137	24920
79	2155	24793
80	2177	24700
81	2200	24636
82	2229	24630
83	2250	24541
84	2274	24482
85	2293	24376
86	2314	24286
87	2336	24215
88	2360	24157
89	2382	24090
90	2403	24003
91	2423	23922
92	2446	23859
93	2464	23754
94	2485	23681
95	2508	23617
96	2537	23621
97	2571	23668
98	2593	23607
99	2617	23556
100	2637	23478
101	2657	23397
102	2678	23325
103	2701	23277
104	2723	23213
105	2743	23140
106	2764	23068
107	2783	22988
108	2804	22925
109	2828	22887
110	2849	22821
111	2869	22753
112	2894	22722
113	2916	22670
114	2938	22610
115	2958	22547
116	2982	22512
117	3003	22451
118	3024	22392
119	3047	22351
120	3076	22347
121	3095	22278
122	3119	22240
123	3140	22184
124	3161	22129
125	3185	22096
126	3204	22026
127	3226	21983
128	3249	21939
129	3271	21897
130	3295	21858
131	3314	21794
132	3335	21742
133	3357	21700
134	3381	21668
135	3406	21639
136	3427	21593
137	3450	21555
138	3472	21507
139	3497	21483
140	3517	21428
141	3539	21386
142	3559	21330
143	3579	21278
144	3601	21235
145	3622	21189
146	3643	21143
147	3674	21154
148	3695	21105
149	3716	21059
150	3741	21036
151	3761	20985
152	3785	20953
153	3806	20910
154	3829	20876
155	3850	20833
156	3872	20791
157	3897	20772
158	3918	20726
159	3943	20702
160	3970	20689
161	3991	20648
162	4012	20602
163	4039	20593
164	4060	20551
165	4081	20504
166	4102	20462
167	4130	20456
168	4153	20424
169	4177	20397
170	4205	20387
171	4228	20356
172	4249	20313
173	4274	20290
174	4299	20267
175	4321	20232
176	4344	20199
177	4369	20176
178	4391	20141
179	4412	20099
180	4434	20064
181	4461	20054
182	4481	20006
183	4501	19964
184	4526	19939
185	4547	19901
186	4572	19879
187	4594	19844
188	4620	19827
189	4640	19784
190	4671	19784
191	4694	19753
192	4715	19715
193	4741	19699
194	4764	19669
195	4785	19631
196	4809	19603
197	4834	19580
198	4857	19550
199	4880	19522
200	4905	19498
201	4926	19460
202	4949	19432
203	4969	19389
204	4991	19355
205	5013	19324
206	5038	19300
207	5060	19266
208	5080	19226
209	5100	19186
210	5122	19156
211	5148	19135
212	5171	19106
213	5193	19075
214	5215	19043
215	5238	19012
216	5263	18991
217	5283	18954
218	5305	18919
219	5328	18893
220	5354	18873
221	5375	18838
222	5395	18797
223	5417	18767
224	5442	18744
225	5460	18702
226	5485	18679
227	5508	18651
228	5528	18613
229	5553	18591
230	5574	18557
231	5603	18548
232	5624	18513
233	5648	18489
234	5667	18448
235	5691	18424
236	5714	18396
237	5742	18385
238	5763	18350
239	5783	18315
240	5808	18293
241	5829	18259
242	5852	18230
243	5875	18203
244	5905	18197
245	5927	18166
246	5949	18139
247	5968	18099
248	5991	18070
249	6015	18047
250	6037	18014
251	6059	17986
252	6080	17953
253	6114	17957
254	6135	17925
255	6159	17900
256	6181	17870
257	6202	17837
258	6225	17812
259	6248	17785
260	6274	17765
261	6296	17737
262	6319	17708
263	6340	17676
264	6361	17643
